epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,vaccinated,vaccinated_per_100k_inhabitants,vaccinated_second,vaccinated_second_per_100k_inhabitants
115,2021-04-17,Brazil,AP,TOTAL,8,1464,166,103002,1464,103002,173.10469,12179.04984,0.01421,74779,2205,169813,20078.84304,76039,8990.92028,25166,2975.65065
115,2021-04-17,Brazil,BA,TOTAL,94,17228,3889,859760,17228,859760,115.83356,5780.65152,0.02004,826161,190000,1978117,13299.99656,2016172,13555.86179,605157,4068.81191
115,2021-04-17,Brazil,CE,TOTAL,133,16208,10423,620272,16163,616022,177.48425,6792.23283,0.02613,421558,87297,1790588,19607.67308,1139379,12476.66741,397376,4351.43020
115,2021-04-17,Brazil,DF,TOTAL,47,7172,1194,365646,7172,365646,237.85614,12126.48428,0.01961,344807,661,782118,25938.58987,357299,11849.65980,140229,4650.63139
115,2021-04-17,Brazil,ES,TOTAL,49,8636,1605,415601,8588,413996,214.89804,10341.80633,0.02078,385548,242843,1219503,30346.08637,587097,14609.30910,146214,3638.38603
115,2021-04-17,Brazil,GO,TOTAL,100,13665,763,523769,13647,523287,194.70377,7462.84670,0.02609,498474,427613,1044078,14876.39409,725546,10337.83705,234370,3339.38698
115,2021-04-17,Brazil,MA,TOTAL,41,6824,1092,255281,6824,255281,96.44983,3608.11971,0.02673,227535,2815,609020,8607.83632,665612,9407.70279,210029,2968.53183
115,2021-04-17,Brazil,MG,TOTAL,402,29940,8963,1275234,29940,1275234,141.43462,6024.12296,0.02348,1151944,2675975,3605959,17034.31717,2591742,12243.22164,911733,4306.96774
115,2021-04-17,Brazil,MS,TOTAL,37,5193,928,237015,5156,236087,186.86672,8528.83030,0.02191,216864,2538,719266,25882.31823,417991,15041.13371,173733,6251.66877
115,2021-04-17,Brazil,MT,TOTAL,34,9031,1169,342243,8880,340220,259.17888,9821.96411,0.02639,319484,48576,1039067,29819.97815,317899,9123.32047,110187,3162.23490
115,2021-04-17,Brazil,PA,TOTAL,115,11866,595,450872,11751,450277,137.93079,5240.95171,0.02632,420703,720,980727,11400.00453,933997,10856.81340,343368,3991.32150
115,2021-04-17,Brazil,PB,TOTAL,26,6414,1377,279170,6414,279170,159.62661,6947.76447,0.02298,194049,77408,763570,19003.13255,577263,14366.46975,191573,4767.71889
115,2021-04-17,Brazil,PE,TOTAL,77,13179,1966,380818,13179,380818,137.89790,3984.67271,0.03461,319407,8487,1493167,15623.68847,1161868,12157.15568,404674,4234.28894
115,2021-04-17,Brazil,PI,TOTAL,27,4758,828,226624,4731,225796,145.36114,6923.56503,0.02100,219695,3678,650828,19883.37503,350907,10720.52137,103139,3150.98831
115,2021-04-17,Brazil,PR,TOTAL,115,20297,3125,905751,20297,905751,177.51510,7921.58830,0.02241,645607,12241,2874680,25141.60233,1361204,11904.92495,420934,3681.43767
115,2021-04-17,Brazil,RJ,TOTAL,446,41162,1659,699422,41162,699422,238.41376,4051.11097,0.05885,648643,52017,2313502,13399.99790,1857188,10756.98889,529649,3067.77150
115,2021-04-17,Brazil,RN,TOTAL,13,5106,0,212802,5093,211890,145.60063,6068.17565,0.02399,150649,52838,679086,19364.54137,414423,11817.51844,122773,3500.94515
115,2021-04-17,Brazil,RO,TOTAL,51,4788,428,203728,4788,203728,269.40877,11463.26436,0.02350,180089,278705,529325,29783.79215,158536,8920.42369,46896,2638.72048
115,2021-04-17,Brazil,RR,TOTAL,0,1445,178,93752,1445,93574,238.54292,15476.73092,0.01541,85381,41093,219083,36166.57395,60858,10046.53651,28842,4761.28374
